epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.409,1.35451,1.61873,1.29323,0.68161,0.63705,0.68599,0.38395,1.41255,1.53377,1.44815,0.000664234,0.000664234,0.000664234
2,383.543,1.42791,1.29356,1.37541,0.6612,0.55658,0.62394,0.32947,1.61837,1.90385,1.63424,0.00130455,0.00130455,0.00130455
3,578.587,1.43738,1.21319,1.39252,0.66964,0.57837,0.64163,0.36565,1.65717,1.62931,1.60748,0.00191846,0.00191846,0.00191846
